Year;VIM;El;Transport;Total
2005;50;51;7;40
2006;53;52;8;42
2007;55;53;8;44
2008;57;54;9;44
2009;61;58;9;47
2010;58;56;10;47
2011;60;60;12;48
2012;62;60;14;50
2013;64;62;15;51
2014;64;63;19;52
2015;65;66;21;53
2016;65;65;27;53
2017;66;66;27;54
2018;65;66;30;55
2019;66;71;30;56
2020;66;74;32;60
2021;69;76;30;63
2022;69;83;29;66
